,silhouettes,ag/ag_i2_hor,ag/ag_i4_hor,ag/ag_i6_hor,ag/ag_i8_hor,ag/ag_i10_hor,ag/ag_i12_hor,ag/ag_i14_hor,ag/ag_i16_hor,ag/ag_i18_hor,ag/ag_i20_hor,ag/ag_i22_hor,ag/ag_i24_hor,ag/ag_i26_hor,ag/ag_i28_hor,ag/ag_i30_hor,ag/ag_i32_hor,ag/ag_i2_ver,ag/ag_i4_ver,ag/ag_i6_ver,ag/ag_i8_ver,ag/ag_i10_ver,ag/ag_i12_ver,ag/ag_i14_ver,ag/ag_i16_ver,ag/ag_i18_ver,ag/ag_i20_ver,ag/ag_i22_ver,ag/ag_i24_ver,ag/ag_i26_ver,ag/ag_i28_ver,ag/ag_i30_ver,ag/ag_i32_ver,ag/ag_i2_ul,ag/ag_i4_ul,ag/ag_i6_ul,ag/ag_i8_ul,ag/ag_i10_ul,ag/ag_i12_ul,ag/ag_i14_ul,ag/ag_i16_ul,ag/ag_i18_ul,ag/ag_i20_ul,ag/ag_i22_ul,ag/ag_i24_ul,ag/ag_i26_ul,ag/ag_i28_ul,ag/ag_i30_ul,ag/ag_i32_ul,ag/ag_i2_ur,ag/ag_i4_ur,ag/ag_i6_ur,ag/ag_i8_ur,ag/ag_i10_ur,ag/ag_i12_ur,ag/ag_i14_ur,ag/ag_i16_ur,ag/ag_i18_ur,ag/ag_i20_ur,ag/ag_i22_ur,ag/ag_i24_ur,ag/ag_i26_ur,ag/ag_i28_ur,ag/ag_i30_ur,ag/ag_i32_ur
wide_resnet101_2,0.50625,0.11875,0.10625,0.075,0.08125,0.05,0.06875,0.05625,0.05625,0.0625,0.075,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.09375,0.09375,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.09375,0.0625,0.05,0.05625,0.075,0.05625,0.0625,0.0625,0.075,0.0625,0.0625,0.05625,0.0625,0.0625,0.0625,0.0625,0.09375,0.0625,0.05625,0.04375,0.05625,0.05,0.05,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
mnasnet0_5,0.40625,0.10625,0.06875,0.05,0.05625,0.05625,0.0375,0.0375,0.05625,0.025,0.05625,0.05625,0.0625,0.0625,0.0625,0.05625,0.0625,0.0375,0.0625,0.0625,0.0625,0.0375,0.0625,0.0625,0.05625,0.0625,0.0625,0.075,0.06875,0.0625,0.0625,0.0625,0.0625,0.09375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.10625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.09375,0.0625,0.0625,0.0625,0.0625,0.0375,0.0625,0.0625,0.06875,0.075,0.06875,0.0625,0.04375,0.0625,0.0625,0.0625
mnasnet1_0,0.49375,0.0625,0.04375,0.0625,0.0625,0.06875,0.05,0.0375,0.04375,0.04375,0.11875,0.11875,0.10625,0.06875,0.075,0.0125,0.0625,0.08125,0.05625,0.0375,0.0625,0.0625,0.06875,0.01875,0.0625,0.05,0.0625,0.06875,0.04375,0.08125,0.09375,0.075,0.10625,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.04375,0.0625,0.0625,0.0625,0.08125,0.08125,0.075,0.0875,0.075,0.075,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.09375,0.0625,0.0875,0.125,0.0625,0.10625
efficientnet_b0,0.53125,0.05,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0875,0.0625,0.05625,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.06875,0.0625,0.05,0.0625
efficientnet_b1,0.54375,0.05,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.0625,0.06875,0.06875,0.0625,0.0625,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.10625,0.0625,0.0625,0.0625,0.05,0.03125,0.04375,0.04375,0.0625,0.0625,0.05625,0.0625,0.0625,0.05625,0.0625,0.05625,0.10625,0.0625,0.0625,0.0625,0.0375,0.0375,0.05625,0.04375,0.05625,0.05625,0.05625,0.0625,0.05625,0.0625,0.05625,0.05625
efficientnet_b2,0.575,0.0875,0.0625,0.075,0.0625,0.0625,0.0625,0.0625,0.0625,0.0875,0.0625,0.08125,0.0625,0.09375,0.0625,0.1,0.0625,0.1375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.06875,0.0875,0.0375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0375,0.01875,0.05,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
efficientnet_b3,0.63125,0.2875,0.08125,0.05625,0.025,0.0625,0.0625,0.0625,0.09375,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.19375,0.0625,0.08125,0.0625,0.075,0.05625,0.0625,0.075,0.05625,0.0375,0.0375,0.03125,0.04375,0.04375,0.04375,0.0375,0.3875,0.0625,0.0625,0.0625,0.0625,0.0625,0.04375,0.0625,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.075,0.3875,0.0625,0.0625,0.05625,0.05625,0.04375,0.05625,0.05,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05
efficientnet_b4,0.6,0.40625,0.13125,0.1125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.075,0.0625,0.23125,0.09375,0.0625,0.0625,0.06875,0.075,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.275,0.0625,0.18125,0.0625,0.04375,0.03125,0.03125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.275,0.0625,0.25,0.0625,0.05625,0.0625,0.04375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
efficientnet_b5,0.56875,0.3,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.075,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.05625,0.05625,0.05625,0.05,0.05625,0.05,0.08125,0.2375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.2375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
efficientnet_b6,0.5625,0.0875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.05,0.0625,0.05625,0.0625,0.1125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.075,0.075,0.08125,0.075,0.06875,0.08125,0.1125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.075,0.06875,0.0875,0.075,0.0875,0.06875,0.075
